[12:11:55] Run started: categories=['multi_turn_miss_func'], workers=3, max_entries=all
[12:11:55] ── multi_turn_miss_func ──
[12:11:55]   Loaded 200 entries
[12:12:14]   [1/200] multi_turn_miss_func_1: PASS (1/1 = 100%)
[12:12:18]   [2/200] multi_turn_miss_func_0: PASS (2/2 = 100%)
[12:12:26]   [3/200] multi_turn_miss_func_3: PASS (3/3 = 100%)
[12:12:28]   [4/200] multi_turn_miss_func_2: FAIL (3/4 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:12:28]   [5/200] multi_turn_miss_func_4: PASS (4/5 = 80%)
[12:12:40]   [6/200] multi_turn_miss_func_7: PASS (5/6 = 83%)
[12:12:46]   [7/200] multi_turn_miss_func_5: FAIL (5/7 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:12:47]   [8/200] multi_turn_miss_func_6: PASS (6/8 = 75%)
[12:13:02]   [9/200] multi_turn_miss_func_8: FAIL (6/9 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:13:07]   [10/200] multi_turn_miss_func_10: PASS (7/10 = 70%)
[12:13:08]   [11/200] multi_turn_miss_func_9: FAIL (7/11 = 64%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:13:09]   [12/200] multi_turn_miss_func_11: PASS (8/12 = 67%)
[12:13:18]   [13/200] multi_turn_miss_func_12: PASS (9/13 = 69%)
[12:13:18]   [14/200] multi_turn_miss_func_13: PASS (10/14 = 71%)
[12:13:25]   [15/200] multi_turn_miss_func_14: PASS (11/15 = 73%)
[12:13:32]   [16/200] multi_turn_miss_func_16: PASS (12/16 = 75%)
[12:13:36]   [17/200] multi_turn_miss_func_15: PASS (13/17 = 76%)
[12:13:39]   [18/200] multi_turn_miss_func_17: PASS (14/18 = 78%)
[12:13:48]   [19/200] multi_turn_miss_func_19: PASS (15/19 = 79%)
[12:13:50]   [20/200] multi_turn_miss_func_18: PASS (16/20 = 80%)
[12:13:51]   [21/200] multi_turn_miss_func_20: PASS (17/21 = 81%)
[12:14:03]   [22/200] multi_turn_miss_func_21: PASS (18/22 = 82%)
[12:14:04]   [23/200] multi_turn_miss_func_23: FAIL (18/23 = 78%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:14:12]   [24/200] multi_turn_miss_func_22: PASS (19/24 = 79%)
[12:14:14]   [25/200] multi_turn_miss_func_25: FAIL (19/25 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:14:22]   [26/200] multi_turn_miss_func_24: FAIL (19/26 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:14:25]   [27/200] multi_turn_miss_func_26: PASS (20/27 = 74%)
[12:14:31]   [28/200] multi_turn_miss_func_27: FAIL (20/28 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:14:35]   [29/200] multi_turn_miss_func_28: FAIL (20/29 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:14:40]   [30/200] multi_turn_miss_func_30: PASS (21/30 = 70%)
[12:14:42]   [31/200] multi_turn_miss_func_29: PASS (22/31 = 71%)
[12:14:47]   [32/200] multi_turn_miss_func_32: FAIL (22/32 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:14:51]   [33/200] multi_turn_miss_func_31: FAIL (22/33 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:14:58]   [34/200] multi_turn_miss_func_34: FAIL (22/34 = 65%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:14:59]   [35/200] multi_turn_miss_func_33: PASS (23/35 = 66%)
[12:15:07]   [36/200] multi_turn_miss_func_35: PASS (24/36 = 67%)
[12:15:12]   [37/200] multi_turn_miss_func_37: PASS (25/37 = 68%)
[12:15:17]   [38/200] multi_turn_miss_func_36: PASS (26/38 = 68%)
[12:15:19]   [39/200] multi_turn_miss_func_38: PASS (27/39 = 69%)
[12:15:25]   [40/200] multi_turn_miss_func_39: PASS (28/40 = 70%)
[12:15:34]   [41/200] multi_turn_miss_func_40: PASS (29/41 = 71%)
[12:15:38]   [42/200] multi_turn_miss_func_41: FAIL (29/42 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:15:38]   [43/200] multi_turn_miss_func_42: PASS (30/43 = 70%)
[12:15:48]   [44/200] multi_turn_miss_func_43: PASS (31/44 = 70%)
[12:15:49]   [45/200] multi_turn_miss_func_45: PASS (32/45 = 71%)
[12:15:53]   [46/200] multi_turn_miss_func_46: FAIL (32/46 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:15:58]   [47/200] multi_turn_miss_func_44: PASS (33/47 = 70%)
[12:16:02]   [48/200] multi_turn_miss_func_47: PASS (34/48 = 71%)
[12:16:08]   [49/200] multi_turn_miss_func_48: PASS (35/49 = 71%)
[12:16:09]   [50/200] multi_turn_miss_func_50: PASS (36/50 = 72%)
[12:16:10]   [51/200] multi_turn_miss_func_49: FAIL (36/51 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:16:26]   [52/200] multi_turn_miss_func_51: PASS (37/52 = 71%)
[12:16:30]   [53/200] multi_turn_miss_func_53: PASS (38/53 = 72%)
[12:16:34]   [54/200] multi_turn_miss_func_52: PASS (39/54 = 72%)
[12:16:42]   [55/200] multi_turn_miss_func_54: FAIL (39/55 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:16:53]   [56/200] multi_turn_miss_func_56: FAIL (39/56 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:16:55]   [57/200] multi_turn_miss_func_57: PASS (40/57 = 70%)
[12:16:56]   [58/200] multi_turn_miss_func_55: PASS (41/58 = 71%)
[12:17:17]   [59/200] multi_turn_miss_func_58: FAIL (41/59 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:17:18]   [60/200] multi_turn_miss_func_60: PASS (42/60 = 70%)
[12:17:26]   [61/200] multi_turn_miss_func_59: PASS (43/61 = 70%)
[12:17:34]   [62/200] multi_turn_miss_func_62: FAIL (43/62 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:17:42]   [63/200] multi_turn_miss_func_61: PASS (44/63 = 70%)
[12:17:42]   [64/200] multi_turn_miss_func_63: FAIL (44/64 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:17:52]   [65/200] multi_turn_miss_func_64: PASS (45/65 = 69%)
[12:18:03]   [66/200] multi_turn_miss_func_66: PASS (46/66 = 70%)
[12:18:10]   [67/200] multi_turn_miss_func_65: PASS (47/67 = 70%)
[12:18:11]   [68/200] multi_turn_miss_func_67: PASS (48/68 = 71%)
[12:18:26]   [69/200] multi_turn_miss_func_68: FAIL (48/69 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:18:27]   [70/200] multi_turn_miss_func_70: FAIL (48/70 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:18:32]   [71/200] multi_turn_miss_func_69: PASS (49/71 = 69%)
[12:18:45]   [72/200] multi_turn_miss_func_71: PASS (50/72 = 69%)
[12:18:53]   [73/200] multi_turn_miss_func_73: PASS (51/73 = 70%)
[12:18:55]   [74/200] multi_turn_miss_func_74: FAIL (51/74 = 69%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:18:55]   [75/200] multi_turn_miss_func_72: FAIL (51/75 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:19:11]   [76/200] multi_turn_miss_func_77: FAIL (51/76 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:19:13]   [77/200] multi_turn_miss_func_75: FAIL (51/77 = 66%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:19:20]   [78/200] multi_turn_miss_func_76: FAIL (51/78 = 65%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:19:26]   [79/200] multi_turn_miss_func_79: PASS (52/79 = 66%)
[12:19:26]   [80/200] multi_turn_miss_func_78: FAIL (52/80 = 65%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:19:47]   [81/200] multi_turn_miss_func_81: FAIL (52/81 = 64%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:19:47]   [82/200] multi_turn_miss_func_80: PASS (53/82 = 65%)
[12:19:49]   [83/200] multi_turn_miss_func_82: FAIL (53/83 = 64%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:20:01]   [84/200] multi_turn_miss_func_85: FAIL (53/84 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:20:05]   [85/200] multi_turn_miss_func_84: PASS (54/85 = 64%)
[12:20:06]   [86/200] multi_turn_miss_func_83: FAIL (54/86 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:20:18]   [87/200] multi_turn_miss_func_86: PASS (55/87 = 63%)
[12:20:22]   [88/200] multi_turn_miss_func_88: PASS (56/88 = 64%)
[12:20:35]   [89/200] multi_turn_miss_func_87: PASS (57/89 = 64%)
[12:20:37]   [90/200] multi_turn_miss_func_89: PASS (58/90 = 64%)
[12:20:44]   [91/200] multi_turn_miss_func_90: FAIL (58/91 = 64%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:20:44]   [92/200] multi_turn_miss_func_91: PASS (59/92 = 64%)
[12:20:55]   [93/200] multi_turn_miss_func_92: FAIL (59/93 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:20:57]   [94/200] multi_turn_miss_func_93: FAIL (59/94 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:20:59]   [95/200] multi_turn_miss_func_94: PASS (60/95 = 63%)
[12:21:11]   [96/200] multi_turn_miss_func_95: PASS (61/96 = 64%)
[12:21:16]   [97/200] multi_turn_miss_func_96: PASS (62/97 = 64%)
[12:21:28]   [98/200] multi_turn_miss_func_98: FAIL (62/98 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:21:30]   [99/200] multi_turn_miss_func_97: PASS (63/99 = 64%)
[12:21:41]   [100/200] multi_turn_miss_func_100: PASS (64/100 = 64%)
[12:21:42]   [101/200] multi_turn_miss_func_99: FAIL (64/101 = 63%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:21:48]   [102/200] multi_turn_miss_func_101: PASS (65/102 = 64%)
[12:21:58]   [103/200] multi_turn_miss_func_102: PASS (66/103 = 64%)
[12:22:01]   [104/200] multi_turn_miss_func_103: PASS (67/104 = 64%)
[12:22:03]   [105/200] multi_turn_miss_func_104: PASS (68/105 = 65%)
[12:22:08]   [106/200] multi_turn_miss_func_105: PASS (69/106 = 65%)
[12:22:20]   [107/200] multi_turn_miss_func_106: PASS (70/107 = 65%)
[12:22:22]   [108/200] multi_turn_miss_func_107: PASS (71/108 = 66%)
[12:22:33]   [109/200] multi_turn_miss_func_108: PASS (72/109 = 66%)
[12:22:45]   [110/200] multi_turn_miss_func_110: PASS (73/110 = 66%)
[12:22:51]   [111/200] multi_turn_miss_func_109: PASS (74/111 = 67%)
[12:22:57]   [112/200] multi_turn_miss_func_111: PASS (75/112 = 67%)
[12:22:59]   [113/200] multi_turn_miss_func_113: PASS (76/113 = 67%)
[12:23:09]   [114/200] multi_turn_miss_func_112: PASS (77/114 = 68%)
[12:23:13]   [115/200] multi_turn_miss_func_115: PASS (78/115 = 68%)
[12:23:14]   [116/200] multi_turn_miss_func_114: PASS (79/116 = 68%)
[12:23:26]   [117/200] multi_turn_miss_func_116: PASS (80/117 = 68%)
[12:23:34]   [118/200] multi_turn_miss_func_117: FAIL (80/118 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 6.
[12:23:38]   [119/200] multi_turn_miss_func_119: PASS (81/119 = 68%)
[12:23:40]   [120/200] multi_turn_miss_func_118: FAIL (81/120 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:23:47]   [121/200] multi_turn_miss_func_120: PASS (82/121 = 68%)
[12:23:55]   [122/200] multi_turn_miss_func_122: PASS (83/122 = 68%)
[12:23:57]   [123/200] multi_turn_miss_func_121: FAIL (83/123 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:24:02]   [124/200] multi_turn_miss_func_123: PASS (84/124 = 68%)
[12:24:08]   [125/200] multi_turn_miss_func_124: FAIL (84/125 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:24:15]   [126/200] multi_turn_miss_func_126: PASS (85/126 = 67%)
[12:24:21]   [127/200] multi_turn_miss_func_125: FAIL (85/127 = 67%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:24:26]   [128/200] multi_turn_miss_func_127: PASS (86/128 = 67%)
[12:24:34]   [129/200] multi_turn_miss_func_128: PASS (87/129 = 67%)
[12:24:38]   [130/200] multi_turn_miss_func_129: PASS (88/130 = 68%)
[12:24:38]   [131/200] multi_turn_miss_func_130: PASS (89/131 = 68%)
[12:24:51]   [132/200] multi_turn_miss_func_132: PASS (90/132 = 68%)
[12:24:55]   [133/200] multi_turn_miss_func_133: PASS (91/133 = 68%)
[12:25:04]   [134/200] multi_turn_miss_func_131: PASS (92/134 = 69%)
[12:25:07]   [135/200] multi_turn_miss_func_135: PASS (93/135 = 69%)
[12:25:14]   [136/200] multi_turn_miss_func_134: FAIL (93/136 = 68%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:25:24]   [137/200] multi_turn_miss_func_136: PASS (94/137 = 69%)
[12:25:24]   [138/200] multi_turn_miss_func_137: PASS (95/138 = 69%)
[12:25:36]   [139/200] multi_turn_miss_func_139: PASS (96/139 = 69%)
[12:25:40]   [140/200] multi_turn_miss_func_138: PASS (97/140 = 69%)
[12:25:44]   [141/200] multi_turn_miss_func_140: PASS (98/141 = 70%)
[12:25:54]   [142/200] multi_turn_miss_func_142: PASS (99/142 = 70%)
