[11:29:34] Run started: categories=['multi_turn_base'], workers=3, max_entries=all
[11:29:34] ── multi_turn_base ──
[11:29:34]   Loaded 200 entries
[11:29:52]   [1/200] multi_turn_base_1: PASS (1/1 = 100%)
[11:30:00]   [2/200] multi_turn_base_3: PASS (2/2 = 100%)
[11:30:01]   [3/200] multi_turn_base_0: PASS (3/3 = 100%)
[11:30:04]   [4/200] multi_turn_base_2: PASS (4/4 = 100%)
[11:30:09]   [5/200] multi_turn_base_4: PASS (5/5 = 100%)
[11:30:18]   [6/200] multi_turn_base_5: PASS (6/6 = 100%)
[11:30:19]   [7/200] multi_turn_base_7: PASS (7/7 = 100%)
[11:30:20]   [8/200] multi_turn_base_6: PASS (8/8 = 100%)
[11:30:35]   [9/200] multi_turn_base_9: PASS (9/9 = 100%)
[11:30:48]   [10/200] multi_turn_base_10: PASS (10/10 = 100%)
[11:30:51]   [11/200] multi_turn_base_8: FAIL (10/11 = 91%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:30:51]   [12/200] multi_turn_base_11: PASS (11/12 = 92%)
[11:30:57]   [13/200] multi_turn_base_12: PASS (12/13 = 92%)
[11:31:02]   [14/200] multi_turn_base_13: FAIL (12/14 = 86%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:31:06]   [15/200] multi_turn_base_14: PASS (13/15 = 87%)
[11:31:14]   [16/200] multi_turn_base_15: PASS (14/16 = 88%)
[11:31:20]   [17/200] multi_turn_base_16: PASS (15/17 = 88%)
[11:31:22]   [18/200] multi_turn_base_17: PASS (16/18 = 89%)
[11:31:29]   [19/200] multi_turn_base_19: PASS (17/19 = 89%)
[11:31:32]   [20/200] multi_turn_base_18: FAIL (17/20 = 85%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:31:34]   [21/200] multi_turn_base_20: PASS (18/21 = 86%)
[11:31:41]   [22/200] multi_turn_base_21: FAIL (18/22 = 82%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:31:43]   [23/200] multi_turn_base_23: FAIL (18/23 = 78%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:31:51]   [24/200] multi_turn_base_22: FAIL (18/24 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:31:53]   [25/200] multi_turn_base_25: FAIL (18/25 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:31:58]   [26/200] multi_turn_base_26: PASS (19/26 = 73%)
[11:32:01]   [27/200] multi_turn_base_24: PASS (20/27 = 74%)
[11:32:05]   [28/200] multi_turn_base_27: PASS (21/28 = 75%)
[11:32:08]   [29/200] multi_turn_base_29: PASS (22/29 = 76%)
[11:32:12]   [30/200] multi_turn_base_28: PASS (23/30 = 77%)
